game,reference,ID,first,second,third,fourth,fifth,sixth,seventh,eighth
2,LB018,1,3,6,25,26,28,32,40,45
2,LB018,2,6,8,17,21,29,37,44,55
2,LB020,1,1,6,12,13,19,27,29,42
2,LB020,2,2,5,7,8,15,16,27,39
2,LB020,3,9,18,21,25,35,39,45,58
2,LB020,4,4,18,22,24,38,48,54,59
2,LB020,5,1,13,27,32,38,43,50,58
2,LB021,1,5,8,9,13,18,42,46,56
2,LB021,2,3,11,34,38,40,45,46,58
2,LB022,1,5,9,12,25,37,44,49,51
2,LB022,2,2,6,19,22,33,41,54,57
2,LB023,1,7,9,14,26,27,30,31,44
2,LB023,2,5,6,7,23,24,36,39,43
2,LB023,3,12,13,19,26,44,45,49,56
2,LB023,4,1,10,12,22,23,34,39,59
2,LB023,5,23,24,25,33,46,49,51,57
2,LB023,6,1,2,6,12,18,54,55,57
2,LB023,7,2,3,4,8,10,20,42,43
2,LB023,8,9,10,11,23,26,27,47,55
2,LB023,9,5,9,12,16,31,32,41,51
2,LB023,10,7,9,10,11,19,27,29,47
2,LB023,11,19,20,32,33,44,54,55,56
2,LB023,12,6,8,10,12,14,15,44,47
2,LB023,13,5,11,16,29,33,34,45,56
2,LB023,14,51,52,53,54,55,56,57,58
2,LB023,15,23,27,29,31,41,44,49,51
2,LB023,16,5,8,21,22,25,35,45,52
2,LB023,17,7,8,9,13,24,28,38,44
2,LB023,18,7,8,18,19,20,22,34,45
2,LB023,19,22,24,35,38,43,46,53,55
2,LB023,20,5,6,9,12,14,23,45,46
2,LB023,21,9,14,23,27,43,44,58,59
2,LB023,22,1,26,29,39,44,56,57,59
2,LB023,23,7,8,9,10,21,28,35,52
2,LB023,24,12,13,18,22,34,35,46,57
2,LB023,25,3,6,9,12,15,18,21,24
2,LB023,26,9,13,18,22,26,31,32,33
2,LB023,27,1,5,54,55,56,57,58,59
2,LB023,28,3,7,17,18,28,38,48,58
2,LB023,29,9,19,29,39,49,50,51,59
2,LB024,1,2,4,6,8,10,20,30,40
2,LB024,2,4,7,12,15,20,25,50,51
2,LB025,1,6,13,16,28,36,49,50,58
2,LB025,2,1,2,3,4,5,6,7,8
2,LB025,3,3,9,14,23,31,37,42,44
2,LB026,1,5,8,10,16,25,41,48,58
2,LB026,2,4,7,12,21,36,47,52,53
2,LB026,3,1,12,19,27,36,44,50,59
2,LB026,4,2,4,10,11,15,22,33,49
2,LB026,5,3,7,13,20,23,27,48,59
2,LB027,1,4,9,11,13,22,37,40,57
2,LB027,2,3,6,10,11,16,18,21,25
2,LB027,3,3,7,10,18,21,25,48,51
2,LB027,4,1,10,18,21,25,37,40,44
2,LB027,5,2,6,11,21,22,33,44,55
2,LB028,1,9,11,14,17,21,39,49,59
2,LB028,2,1,9,15,17,26,28,44,49
2,LB028,3,6,10,16,19,24,29,33,41
2,LB028,4,1,9,15,17,26,28,44,49
2,LB028,5,9,11,14,17,21,39,49,59
2,LB028,6,6,10,16,19,24,29,33,41
2,LB030,1,1,5,9,16,29,35,43,53
2,LB030,2,8,14,20,22,30,45,51,59
2,LB030,3,3,16,22,39,43,47,51,57
2,LB030,4,1,3,9,14,16,21,33,46
2,LB030,5,2,7,16,22,23,37,47,59
2,LB031,1,6,15,21,35,39,47,52,55
2,LB032,1,6,7,9,14,15,24,28,30
2,LB032,2,7,11,22,24,30,36,43,58
2,LB032,3,3,8,9,12,22,30,45,54
2,LB033,1,5,6,8,11,12,16,26,29
2,LB033,2,4,9,10,18,29,33,46,56
2,LB033,3,4,11,20,23,30,37,48,56
2,LB033,4,1,3,13,32,42,48,56,58
2,LB034,1,3,10,12,15,16,26,27,30
2,LB034,2,6,19,21,39,41,44,46,58
2,LB034,3,1,5,7,13,17,18,20,22
2,LB034,4,9,10,13,17,25,48,51,59
2,LB034,5,1,8,14,25,33,46,53,57
2,LB034,6,4,15,21,37,43,48,52,57
2,LB035,1,6,7,10,16,17,18,26,51
2,LB035,2,6,7,10,17,21,24,56,59
2,LB035,3,8,9,10,11,13,17,37,39
2,LB035,4,3,4,5,9,14,16,17,20
2,LB035,5,3,4,5,9,13,14,16,20
2,LB036,1,7,12,22,29,38,45,50,57
2,LB036,2,7,14,21,28,35,42,49,54
2,LB036,3,2,3,9,14,19,27,34,42
2,LB036,4,6,11,14,24,29,31,41,57
2,LB036,5,2,6,9,11,16,23,39,44
2,LB036,6,12,24,26,34,40,50,55,59
2,LB036,7,4,9,12,16,17,23,26,45
2,LB036,8,7,14,21,24,31,36,42,49
2,LB036,9,8,9,13,21,35,44,50,57
2,LB036,10,2,15,24,26,29,39,55,59
2,LB036,11,3,4,8,20,32,38,50,55
2,LB036,12,2,6,9,10,16,23,26,30
2,LB036,13,9,12,14,21,34,39,49,55
2,LB037,1,3,12,17,19,28,37,50,59
2,LB038,1,2,12,28,32,38,42,44,48
2,LB039,1,2,3,4,11,14,22,28,37
2,LB040,1,2,10,20,22,30,38,47,58
2,LB042,1,3,5,11,12,23,45,49,51
2,LB042,2,1,13,20,29,34,41,48,53
2,LB042,3,1,10,11,13,14,21,32,50
2,LB042,4,7,15,17,25,33,34,48,51
2,LB042,5,2,8,16,27,39,44,49,55
2,LB043,1,1,7,15,22,24,39,45,50
2,LB043,2,2,17,25,30,35,47,53,58
2,LB043,3,8,9,13,15,22,23,31,51
2,LB044,1,1,4,5,15,16,23,29,42
2,LB045,1,3,7,11,12,14,25,31,40
2,LB045,2,10,16,28,33,34,47,51,59
2,LB047,1,7,8,9,10,12,21,28,29
2,LB047,2,8,17,21,31,32,34,38,44
2,LB048,1,1,6,10,12,21,22,23,30
2,LB048,2,2,4,8,9,14,19,36,46
2,LB048,3,4,5,11,17,18,27,36,50
2,LB048,4,1,4,7,8,9,18,44,46
2,LB048,5,1,9,23,28,30,47,48,50
2,LB050,1,1,6,9,11,13,35,40,59
2,LB051,1,1,4,9,16,18,21,36,49
2,LB051,2,6,11,21,36,37,49,56,58
2,LB052,1,3,9,11,13,24,33,47,53
2,LB053,1,5,7,11,16,19,26,31,44
2,LB053,2,1,13,19,24,39,41,43,45
2,LB053,3,2,8,14,32,44,45,48,49
